Sample,Genotype
GH0564,Genotype008
GH0565,Genotype008
GH0566,Genotype008
GH0567,Genotype008
GH0568,Genotype008
GH0569,Genotype008
GH0570,Genotype008
GH0571,Genotype008
GH0572,Genotype008
GH0573,Genotype008
GH0574,Genotype008
GH0575,Genotype008
GH0576,Genotype008
GH0577,Genotype008
GH0578,Genotype008
GH0579,Genotype008
GH0580,Genotype008
GH0581,Genotype008
GH0582,Genotype008
GH0583,Genotype008
GH0585,Genotype008
GH0586,Genotype008
GH0587,Genotype008
GH0590,Genotype008
GH0591,Genotype008
GH0594,Genotype008
GH0595,Genotype008
GH0597,Genotype008
GH0598,Genotype008
GH0599,Genotype008
GH0601,Genotype008
GH0604,Genotype008
GH0605,Genotype008
GH0606,Genotype008
GH0607,Genotype008
GH0608,Genotype008
GH0609,Genotype008
GH0610,Genotype008
GH0611,Genotype008
GH0612,Genotype008
GH0613,Genotype008
GH0614,Genotype008
GH0615,Genotype008
GH0616,Genotype008
GH0617,Genotype008
GH0618,Genotype008
GH0619,Genotype008
GH0620,Genotype008
GH0621,Genotype008
GH0623,Genotype008
GH0624,Genotype008
GH0625,Genotype008
GH0626,Genotype008
GH0627,Genotype008
GH0628,Genotype008
GH0629,Genotype008
GH0630,Genotype008
GH0631,Genotype008
GH0632,Genotype008
GH0633,Genotype008
GH0634,Genotype008
GH0637,Genotype008
GH0640,Genotype008
GH0641,Genotype008
GH0642,Genotype008
GH0645,Genotype008
GH0646,Genotype008
GH0650,Genotype008
GH0651,Genotype008
GH0653,Genotype008
GH0655,Genotype008
GH0656,Genotype008
GH0657,Genotype008
GH0658,Genotype008
GH0660,Genotype008
GH0661,Genotype008
GH0662,Genotype008
GH0663,Genotype008
GH0664,Genotype008
GH0665,Genotype008
GH0666,Genotype008
GH0667,Genotype008
GH0668,Genotype008
GH0669,Genotype008
GH0670,Genotype008
GH0671,Genotype008
GH0672,Genotype008
GH0673,Genotype008
GH0674,Genotype008
GH0675,Genotype008
GH0676,Genotype008
GH0677,Genotype008
GH0678,Genotype008
GH0679,Genotype008
GH0680,Genotype008
GH0681,Genotype008
GH0682,Genotype008
GH0683,Genotype008
GH0684,Genotype008
GH0685,Genotype008
GH0686,Genotype008
GH0687,Genotype008
GH0688,Genotype008
GH0689,Genotype008
GH0690,Genotype008
GH0691,Genotype008
GH0692,Genotype008
GH0693,Genotype008
GH0694,Genotype008
GH0695,Genotype008
GH0696,Genotype008
GH0697,Genotype008
GH0699,Genotype008
GH0703,Genotype008
GH0708,Genotype008
GH0710,Genotype008
GH0711,Genotype008
GH0713,Genotype008
GH0714,Genotype008
GH0716,Genotype008
GH0717,Genotype008
GH0721,Genotype008
GH0722,Genotype008
GH0723,Genotype008
GH0724,Genotype008
GH0726,Genotype008
GH0727,Genotype008
GH0728,Genotype008
GH0730,Genotype008
GH0731,Genotype008
GH0733,Genotype008
GH0735,Genotype008
GH0738,Genotype008
GH0740,Genotype008
GH0742,Genotype008
GH0744,Genotype008
GH0746,Genotype008
GH0747,Genotype008
GH0748,Genotype008
GH0754,Genotype008
GH0755,Genotype008
GH0759,Genotype008
GH0761,Genotype008
GH0762,Genotype008
GH0765,Genotype008
GH0767,Genotype008
GH0768,Genotype008
GH0772,Genotype008
GH0774,Genotype008
GH0777,Genotype008
GH0778,Genotype008
GH0780,Genotype008
GH0781,Genotype008
GH0782,Genotype008
GH0785,Genotype008
GH0786,Genotype008
GH0787,Genotype008
GH0788,Genotype008
GH0789,Genotype008
GH0790,Genotype008
GH0791,Genotype008
GH0794,Genotype008
GH0795,Genotype008
GH0796,Genotype008
GH0799,Genotype008
GH0803,Genotype008
GH0808,Genotype008
GH0818,Genotype008
GH0820,Genotype008
GH0829,Genotype008
GH0835,Genotype008
GH0836,Genotype008
GH0837,Genotype008
GH0840,Genotype008
GH0843,Genotype008
GH0845,Genotype008
GH0846,Genotype008
GH0847,Genotype008
GH0850,Genotype008
GH0852,Genotype008
GH0864,Genotype008
GH0869,Genotype008
GH0871,Genotype008
GH0875,Genotype008
GH0880,Genotype008
GH0885,Genotype008
GH0886,Genotype008
GH0890,Genotype008
GH0894,Genotype008
GH0896,Genotype008
GH0902,Genotype008
GH0909,Genotype008
GH0912,Genotype008
GH0920,Genotype008
GH0921,Genotype008
GH0929,Genotype008
GH0933,Genotype008
GH0935,Genotype008
GH0937,Genotype008
GH0942,Genotype008
GH0949,Genotype008
GH0950,Genotype008
GH0953,Genotype008
GH0954,Genotype008
GH0955,Genotype008
GH0960,Genotype008
GH0963,Genotype008
GH0964,Genotype008
GH0966,Genotype008
GH0967,Genotype008
GH0970,Genotype008
GH0972,Genotype008
GH0975,Genotype008
GH0976,Genotype008
GH0977,Genotype008
GH0979,Genotype008
GH0982,Genotype008
GH0983,Genotype008
GH0985,Genotype008
GH0988,Genotype008
GH0989,Genotype008
GH0992,Genotype008
GH0993,Genotype008
GH0994,Genotype008
GH0995,Genotype008
GH0998,Genotype008
GH1000,Genotype008
GH1001,Genotype008
GH1003,Genotype008
GH1004,Genotype008
GH1005,Genotype008
GH1008,Genotype008
GH1009,Genotype008
GH1010,Genotype008
GH1011,Genotype008
GH1012,Genotype008
GH1013,Genotype008
GH1015,Genotype008
GH1016,Genotype008
GH1017,Genotype008
GH1023,Genotype008
GH1024,Genotype008
GH1027,Genotype008
GH1033,Genotype008
GH1034,Genotype008
GH1035,Genotype008
GH1038,Genotype008
GH1041,Genotype008
GH1048,Genotype008
GH1053,Genotype008
GH1054,Genotype008
GH1056,Genotype008
GH1057,Genotype008
GH1060,Genotype008
GH1064,Genotype008
GH1076,Genotype008
GH1078,Genotype008
GH1080,Genotype008
GH1082,Genotype008
GH1085,Genotype008
GH1087,Genotype008
GH1088,Genotype008
GH1090,Genotype008
GH1092,Genotype008
GH1094,Genotype008
GH1095,Genotype008
GH1097,Genotype008
GH1099,Genotype008
GH1101,Genotype008
GH1102,Genotype008
GH1103,Genotype008
GH1112,Genotype008
GH1113,Genotype008
GH1116,Genotype008
GH1119,Genotype008
GH1121,Genotype008
GH1122,Genotype008
GH1123,Genotype008
GH1127,Genotype008
GH1130,Genotype008
GH1131,Genotype008
GH1132,Genotype008
GH1133,Genotype008
GH1135,Genotype008
GH1136,Genotype008
GH1138,Genotype008
GH1141,Genotype008
GH1142,Genotype008
GH1145,Genotype008
GH1147,Genotype008
GH1148,Genotype008
GH1149,Genotype008
GH1150,Genotype008
GH1151,Genotype008
GH1152,Genotype008
GH1153,Genotype008
GH1155,Genotype008
GH1156,Genotype008
GH1158,Genotype008
GH1161,Genotype008
GH1164,Genotype008
GH1165,Genotype008
GH1169,Genotype008
GH1172,Genotype008
GH1173,Genotype008
GH1174,Genotype008
GH1175,Genotype008
GH1176,Genotype008
GH1177,Genotype008
GH1178,Genotype008
GH1179,Genotype008
GH1180,Genotype008
GH1183,Genotype008
GH1184,Genotype008
GH1186,Genotype008
GH1187,Genotype008
GH1188,Genotype008
GH1190,Genotype008
GH1191,Genotype008
GH1193,Genotype008
GH1194,Genotype008
GH1195,Genotype008
GH1196,Genotype008
GH1197,Genotype008
GH1198,Genotype008
GH1199,Genotype008
GH1200,Genotype008
GH1201,Genotype008
GH1204,Genotype008
GH1206,Genotype008
GH1207,Genotype008
GH1208,Genotype008
GH1209,Genotype008
GH1210,Genotype008
GH1211,Genotype008
GH1213,Genotype008
GH1214,Genotype008
GH1222,Genotype008
GH1226,Genotype008
GH1227,Genotype008
GH1229,Genotype008
GH1230,Genotype008
GH1231,Genotype008
GH1232,Genotype008
GH1233,Genotype008
GH1235,Genotype008
GH1237,Genotype008
GH1238,Genotype008
GH1240,Genotype008
GH1242,Genotype008
GH1243,Genotype008
