Sample,Genotype
GH0190,Genotype040
GH0191,Genotype040
GH0192,Genotype040
GH0193,Genotype040
GH0195,Genotype040
GH0196,Genotype040
GH0197,Genotype040
GH0198,Genotype040
GH0202,Genotype040
GH0203,Genotype040
GH0205,Genotype040
GH0206,Genotype040
GH0207,Genotype040
GH0210,Genotype040
GH0213,Genotype040
GH0214,Genotype040
GH0215,Genotype040
GH0216,Genotype040
GH0220,Genotype040
GH0221,Genotype040
GH0222,Genotype040
GH0223,Genotype040
GH0225,Genotype040
GH0226,Genotype040
GH0227,Genotype040
GH0228,Genotype040
GH0231,Genotype040
GH0235,Genotype040
GH0242,Genotype040
GH0243,Genotype040
GH0244,Genotype040
GH0245,Genotype040
GH0246,Genotype040
GH0247,Genotype040
GH0248,Genotype040
GH0249,Genotype040
GH0252,Genotype040
GH0254,Genotype040
GH0255,Genotype040
GH0257,Genotype040
GH0260,Genotype040
GH0263,Genotype040
GH0264,Genotype040
GH0266,Genotype040
GH0269,Genotype040
GH0270,Genotype040
GH0271,Genotype040
GH0287,Genotype040
GH0288,Genotype040
GH0291,Genotype040
GH0292,Genotype040
GH0293,Genotype040
GH0294,Genotype040
GH0295,Genotype040
GH0296,Genotype040
GH0297,Genotype040
GH0299,Genotype040
GH0307,Genotype040
GH0308,Genotype040
GH0313,Genotype040
GH0314,Genotype040
GH0315,Genotype040
GH0322,Genotype040
GH0328,Genotype040
GH0330,Genotype040
GH0332,Genotype040
GH0333,Genotype040
GH0334,Genotype040
GH0349,Genotype040
GH0350,Genotype040
GH0354,Genotype040
GH0355,Genotype040
GH0358,Genotype040
GH0361,Genotype040
GH0367,Genotype040
GH0370,Genotype040
GH0373,Genotype040
GH0376,Genotype040
GH0379,Genotype040
GH0387,Genotype040
GH0388,Genotype040
GH0391,Genotype040
GH0394,Genotype040
GH0395,Genotype040
GH0397,Genotype040
GH0402,Genotype040
GH0405,Genotype040
GH0406,Genotype040
GH0418,Genotype040
GH0422,Genotype040
GH0423,Genotype040
GH0429,Genotype040
GH0432,Genotype040
GH0434,Genotype040
GH0435,Genotype040
GH0438,Genotype040
GH0439,Genotype040
GH0443,Genotype040
GH0449,Genotype040
GH0454,Genotype040
GH0457,Genotype040
GH0458,Genotype040
GH0460,Genotype040
GH0461,Genotype040
GH0462,Genotype040
GH0464,Genotype040
GH0467,Genotype040
GH0468,Genotype040
GH0474,Genotype040
GH0479,Genotype040
GH0480,Genotype040
GH0481,Genotype040
GH0485,Genotype040
GH0489,Genotype040
GH0492,Genotype040
GH0507,Genotype040
GH0509,Genotype040
GH0510,Genotype040
GH0511,Genotype040
GH0514,Genotype040
GH0518,Genotype040
GH0534,Genotype040
GH0537,Genotype040
GH0538,Genotype040
GH0540,Genotype040
GH0543,Genotype040
GH0544,Genotype040
GH0545,Genotype040
GH0549,Genotype040
GH0556,Genotype040
GH0584,Genotype040
GH0592,Genotype040
GH0593,Genotype040
GH0602,Genotype040
GH0603,Genotype040
GH0635,Genotype040
GH0636,Genotype040
GH0638,Genotype040
GH0639,Genotype040
GH0647,Genotype040
GH0648,Genotype040
GH0649,Genotype040
GH0652,Genotype040
GH0700,Genotype040
GH0701,Genotype040
GH0702,Genotype040
GH0704,Genotype040
GH0705,Genotype040
GH0709,Genotype040
GH0712,Genotype040
GH0715,Genotype040
GH0718,Genotype040
GH0719,Genotype040
GH0720,Genotype040
GH0729,Genotype040
GH0732,Genotype040
GH0734,Genotype040
GH0739,Genotype040
GH0741,Genotype040
GH0743,Genotype040
GH0745,Genotype040
GH0749,Genotype040
GH0750,Genotype040
GH0751,Genotype040
GH0752,Genotype040
GH0753,Genotype040
GH0756,Genotype040
GH0757,Genotype040
GH0758,Genotype040
GH0760,Genotype040
GH0763,Genotype040
GH0764,Genotype040
GH0766,Genotype040
GH0769,Genotype040
GH0770,Genotype040
GH0771,Genotype040
GH0773,Genotype040
GH0775,Genotype040
GH0783,Genotype040
GH0784,Genotype040
GH0792,Genotype040
GH0793,Genotype040
GH0797,Genotype040
GH0800,Genotype040
GH0801,Genotype040
GH0802,Genotype040
GH0804,Genotype040
GH0805,Genotype040
GH0806,Genotype040
GH0807,Genotype040
GH0810,Genotype040
GH0811,Genotype040
GH0812,Genotype040
GH0813,Genotype040
GH0814,Genotype040
GH0815,Genotype040
GH0816,Genotype040
GH0817,Genotype040
GH0819,Genotype040
GH0821,Genotype040
GH0822,Genotype040
GH0823,Genotype040
GH0824,Genotype040
GH0825,Genotype040
GH0826,Genotype040
GH0827,Genotype040
GH0828,Genotype040
GH0842,Genotype040
GH0848,Genotype040
GH0849,Genotype040
GH0851,Genotype040
GH0853,Genotype040
GH0854,Genotype040
GH0856,Genotype040
GH0857,Genotype040
GH0858,Genotype040
GH0859,Genotype040
GH0860,Genotype040
GH0861,Genotype040
GH0862,Genotype040
GH0863,Genotype040
GH0865,Genotype040
GH0866,Genotype040
GH0867,Genotype040
GH0868,Genotype040
GH0870,Genotype040
GH0872,Genotype040
GH0873,Genotype040
GH0874,Genotype040
GH0876,Genotype040
GH0877,Genotype040
GH0878,Genotype040
GH0879,Genotype040
GH0881,Genotype040
GH0882,Genotype040
GH0883,Genotype040
GH0884,Genotype040
GH0887,Genotype040
GH0888,Genotype040
GH0889,Genotype040
GH0891,Genotype040
GH0892,Genotype040
GH0893,Genotype040
GH0895,Genotype040
GH0897,Genotype040
GH0898,Genotype040
GH0899,Genotype040
GH0900,Genotype040
GH0901,Genotype040
GH0903,Genotype040
GH0904,Genotype040
GH0905,Genotype040
GH0906,Genotype040
GH0907,Genotype040
GH0908,Genotype040
GH0910,Genotype040
GH0914,Genotype040
GH0915,Genotype040
GH0917,Genotype040
GH0918,Genotype040
GH0922,Genotype040
GH0927,Genotype040
GH0930,Genotype040
GH0931,Genotype040
GH0932,Genotype040
GH0934,Genotype040
GH0936,Genotype040
GH0938,Genotype040
GH0939,Genotype040
GH0940,Genotype040
GH0941,Genotype040
GH0943,Genotype040
GH0944,Genotype040
GH0945,Genotype040
GH0946,Genotype040
GH0947,Genotype040
GH0948,Genotype040
GH0951,Genotype040
GH0952,Genotype040
GH0956,Genotype040
GH0958,Genotype040
GH0959,Genotype040
GH0961,Genotype040
GH0962,Genotype040
GH0965,Genotype040
GH0968,Genotype040
GH0969,Genotype040
GH0971,Genotype040
GH0973,Genotype040
GH0974,Genotype040
GH0978,Genotype040
GH0980,Genotype040
GH0981,Genotype040
GH0986,Genotype040
GH0987,Genotype040
GH0990,Genotype040
GH0991,Genotype040
GH0996,Genotype040
GH0997,Genotype040
GH0999,Genotype040
GH1002,Genotype040
GH1006,Genotype040
GH1007,Genotype040
GH1018,Genotype040
GH1019,Genotype040
GH1020,Genotype040
GH1021,Genotype040
GH1025,Genotype040
GH1026,Genotype040
GH1029,Genotype040
GH1030,Genotype040
GH1032,Genotype040
GH1036,Genotype040
GH1037,Genotype040
GH1039,Genotype040
GH1042,Genotype040
GH1044,Genotype040
GH1045,Genotype040
GH1046,Genotype040
GH1047,Genotype040
GH1049,Genotype040
GH1050,Genotype040
GH1052,Genotype040
GH1055,Genotype040
GH1059,Genotype040
GH1062,Genotype040
GH1063,Genotype040
GH1065,Genotype040
GH1066,Genotype040
GH1068,Genotype040
GH1069,Genotype040
GH1070,Genotype040
GH1071,Genotype040
GH1072,Genotype040
GH1073,Genotype040
GH1074,Genotype040
GH1075,Genotype040
GH1077,Genotype040
GH1079,Genotype040
GH1081,Genotype040
GH1083,Genotype040
GH1084,Genotype040
GH1086,Genotype040
GH1091,Genotype040
GH1093,Genotype040
GH1096,Genotype040
GH1100,Genotype040
GH1104,Genotype040
GH1105,Genotype040
GH1106,Genotype040
GH1107,Genotype040
GH1108,Genotype040
GH1109,Genotype040
GH1110,Genotype040
GH1111,Genotype040
GH1114,Genotype040
GH1115,Genotype040
GH1117,Genotype040
GH1118,Genotype040
GH1120,Genotype040
GH1125,Genotype040
GH1126,Genotype040
GH1134,Genotype040
GH1137,Genotype040
GH1139,Genotype040
GH1144,Genotype040
GH1146,Genotype040
GH1154,Genotype040
GH1160,Genotype040
GH1162,Genotype040
GH1163,Genotype040
GH1166,Genotype040
GH1167,Genotype040
GH1168,Genotype040
GH1171,Genotype040
GH1181,Genotype040
GH1185,Genotype040
GH1189,Genotype040
GH1192,Genotype040
GH1202,Genotype040
GH1203,Genotype040
GH1212,Genotype040
GH1215,Genotype040
GH1216,Genotype040
GH1217,Genotype040
GH1218,Genotype040
GH1219,Genotype040
GH1220,Genotype040
GH1223,Genotype040
GH1225,Genotype040
GH1228,Genotype040
GH1239,Genotype040
GH1246,Genotype040
GH1248,Genotype040
GH1249,Genotype040
GH1250,Genotype040
GH1251,Genotype040
GH1252,Genotype040
GH1253,Genotype040
GH1254,Genotype040
GH1255,Genotype040
GH1257,Genotype040
GH1258,Genotype040
GH1260,Genotype040
GH1261,Genotype040
GH1262,Genotype040
GH1264,Genotype040
GH1265,Genotype040
GH1266,Genotype040
GH1269,Genotype040
GH1270,Genotype040
GH1271,Genotype040
GH1274,Genotype040
GH1278,Genotype040
GH1280,Genotype040
GH1288,Genotype040
GH1290,Genotype040
GH1291,Genotype040
GH1303,Genotype040
GH1304,Genotype040
GH1305,Genotype040
GH1306,Genotype040
GH1307,Genotype040
GH1308,Genotype040
GH1310,Genotype040
GH1311,Genotype040
GH1312,Genotype040
GH1313,Genotype040
GH1317,Genotype040
GH1319,Genotype040
GH1320,Genotype040
GH1321,Genotype040
GH1323,Genotype040
GH1324,Genotype040
GH1325,Genotype040
GH1330,Genotype040
GH1333,Genotype040
GH1338,Genotype040
GH1340,Genotype040
GH1343,Genotype040
GH1345,Genotype040
GH1348,Genotype040
GH1350,Genotype040
GH1351,Genotype040
GH1353,Genotype040
GH1354,Genotype040
GH1359,Genotype040
GH1364,Genotype040
GH1365,Genotype040
GH1367,Genotype040
GH1368,Genotype040
GH1370,Genotype040
GH1379,Genotype040
GH1385,Genotype040
GH1388,Genotype040
GH1389,Genotype040
GH1391,Genotype040
GH1394,Genotype040
GH1395,Genotype040
GH1403,Genotype040
GH1407,Genotype040
GH1408,Genotype040
GH1416,Genotype040
GH1422,Genotype040
GH1425,Genotype040
GH1427,Genotype040
GH1428,Genotype040
GH1429,Genotype040
GH1430,Genotype040
GH1431,Genotype040
GH1435,Genotype040
GH1436,Genotype040
GH1437,Genotype040
GH1438,Genotype040
GH1442,Genotype040
GH1443,Genotype040
GH1446,Genotype040
GH1448,Genotype040
GH1449,Genotype040
GH1450,Genotype040
GH1452,Genotype040
GH1455,Genotype040
GH1456,Genotype040
GH1459,Genotype040
GH1460,Genotype040
GH1461,Genotype040
GH1462,Genotype040
GH1464,Genotype040
GH1465,Genotype040
GH1516,Genotype040
GH1533,Genotype040
GH1539,Genotype040
GH1544,Genotype040
GH1546,Genotype040
GH1548,Genotype040
GH1549,Genotype040
GH1551,Genotype040
GH1552,Genotype040
GH1553,Genotype040
GH1554,Genotype040
GH1555,Genotype040
GH1557,Genotype040
GH1558,Genotype040
GH1560,Genotype040
GH1563,Genotype040
GH1564,Genotype040
GH1565,Genotype040
GH1566,Genotype040
GH1570,Genotype040
GH1571,Genotype040
GH1572,Genotype040
GH1573,Genotype040
GH1574,Genotype040
GH1575,Genotype040
GH1576,Genotype040
GH1577,Genotype040
GH1578,Genotype040
GH1579,Genotype040
GH1580,Genotype040
GH1581,Genotype040
GH1582,Genotype040
GH1583,Genotype040
GH1584,Genotype040
GH1585,Genotype040
GH1587,Genotype040
GH1588,Genotype040
GH1589,Genotype040
GH1590,Genotype040
GH1591,Genotype040
GH1592,Genotype040
GH1593,Genotype040
GH1595,Genotype040
GH1596,Genotype040
GH1597,Genotype040
GH1598,Genotype040
GH1599,Genotype040
GH1600,Genotype040
GH1601,Genotype040
GH1602,Genotype040
GH1604,Genotype040
GH1605,Genotype040
GH1607,Genotype040
GH1610,Genotype040
GH1611,Genotype040
GH1612,Genotype040
GH1614,Genotype040
GH1616,Genotype040
GH1617,Genotype040
GH1622,Genotype040
GH1623,Genotype040
GH1624,Genotype040
GH1626,Genotype040
GH1627,Genotype040
GH1628,Genotype040
GH1630,Genotype040
GH1631,Genotype040
GH1637,Genotype040
GH1640,Genotype040
GH1642,Genotype040
GH1646,Genotype040
GH1649,Genotype040
GH1655,Genotype040
GH1656,Genotype040
GH1657,Genotype040
GH1660,Genotype040
GH1661,Genotype040
GH1663,Genotype040
GH1666,Genotype040
GH1670,Genotype040
GH1677,Genotype040
GH1683,Genotype040
GH1684,Genotype040
GH1688,Genotype040
GH1750,Genotype040
GH1769,Genotype040
GH1772,Genotype040
GH1773,Genotype040
GH1774,Genotype040
GH1778,Genotype040
GH1779,Genotype040
GH1782,Genotype040
GH1783,Genotype040
GH1784,Genotype040
GH1787,Genotype040
GH1789,Genotype040
GH1791,Genotype040
GH1792,Genotype040
GH1794,Genotype040
GH1802,Genotype040
GH1807,Genotype040
GH1808,Genotype040
GH1809,Genotype040
GH1810,Genotype040
GH1811,Genotype040
GH1813,Genotype040
GH1814,Genotype040
GH1819,Genotype040
GH1825,Genotype040
GH1827,Genotype040
GH1834,Genotype040
GH1842,Genotype040
GH1844,Genotype040
GH1847,Genotype040
GH1850,Genotype040
GH1859,Genotype040
GH1860,Genotype040
GH1861,Genotype040
GH1867,Genotype040
GH1868,Genotype040
GH1871,Genotype040
GH1873,Genotype040
GH1874,Genotype040
GH1875,Genotype040
GH1876,Genotype040
GH1878,Genotype040
GH1880,Genotype040
GH1885,Genotype040
GH1889,Genotype040
GH1893,Genotype040
GH1894,Genotype040
GH1895,Genotype040
GH1898,Genotype040
GH1901,Genotype040
GH1902,Genotype040
GH1904,Genotype040
GH1905,Genotype040
GH1907,Genotype040
GH1908,Genotype040
GHL005,Genotype040
GHL020,Genotype040
GHL024,Genotype040
GHL029,Genotype040
GHL030,Genotype040
WILD011,Genotype040
WILD012,Genotype040
WILD019,Genotype040
WILD020,Genotype040
WILD021,Genotype040
ZGH0005,Genotype040
ZGH0007,Genotype040
ZGH0010,Genotype040
ZGH0015,Genotype040
ZGH0020,Genotype040
ZGH0022,Genotype040
ZGH0024,Genotype040
ZGH0026,Genotype040
ZGH0027,Genotype040
ZGH0029,Genotype040
ZGH0031,Genotype040
ZGH0035,Genotype040
ZGH0053,Genotype040
ZGH0056,Genotype040
ZGH0057,Genotype040
ZGH0058,Genotype040
ZGH0059,Genotype040
ZGH0062,Genotype040
ZGH0063,Genotype040
ZGH0065,Genotype040
ZGH0066,Genotype040
ZGH0068,Genotype040
ZGH0069,Genotype040
ZGH0070,Genotype040
ZGH0071,Genotype040
ZGH0073,Genotype040
ZGH0081,Genotype040
ZGH0084,Genotype040
ZGH0085,Genotype040
ZGH0090,Genotype040
ZGH0093,Genotype040
ZGH0095,Genotype040
ZGH0096,Genotype040
ZGH0099,Genotype040
ZGH0100,Genotype040
ZGH0102,Genotype040
ZGH0103,Genotype040
ZGH0104,Genotype040
ZGH0105,Genotype040
ZGH0108,Genotype040
ZGH0109,Genotype040
ZGH0111,Genotype040
ZGH0113,Genotype040
ZGH0115,Genotype040
ZGH0118,Genotype040
ZGH0120,Genotype040
ZGH0121,Genotype040
ZGH0122,Genotype040
ZGH0123,Genotype040
ZGH0124,Genotype040
ZGH0126,Genotype040
ZGH0127,Genotype040
ZGH0129,Genotype040
ZGH0130,Genotype040
ZGH0132,Genotype040
ZGH0135,Genotype040
ZGH0140,Genotype040
ZGH0141,Genotype040
ZGH0144,Genotype040
ZGH0145,Genotype040
ZGH0148,Genotype040
ZGH0151,Genotype040
ZGH0154,Genotype040
ZGH0158,Genotype040
ZGH0160,Genotype040
ZGH0162,Genotype040
ZGH0163,Genotype040
ZGH0164,Genotype040
ZGH0165,Genotype040
ZGH0169,Genotype040
ZGH0170,Genotype040
ZGH0171,Genotype040
ZGH0172,Genotype040
ZGH0174,Genotype040
ZGH0175,Genotype040
ZGH0178,Genotype040
ZGH0179,Genotype040
ZGH0181,Genotype040
ZGH0186,Genotype040
ZGH0187,Genotype040
ZGH0191,Genotype040
ZGH0193,Genotype040
ZGH0196,Genotype040
ZGH0202,Genotype040
ZGH0208,Genotype040
ZGH0212,Genotype040
ZGH0217,Genotype040
ZGH0222,Genotype040
ZGH0223,Genotype040
ZGH0224,Genotype040
ZGH0226,Genotype040
ZGH0228,Genotype040
ZGH0230,Genotype040
ZGH0231,Genotype040
ZGH0234,Genotype040
ZGH0236,Genotype040
ZGH0241,Genotype040
ZGH0243,Genotype040
ZGH0246,Genotype040
ZGH0247,Genotype040
ZGH0248,Genotype040
ZGH0252,Genotype040
ZGH0253,Genotype040
ZGH0259,Genotype040
ZGH0261,Genotype040
ZGH0262,Genotype040
ZGH0263,Genotype040
ZGH0265,Genotype040
ZGH0266,Genotype040
ZGH0268,Genotype040
ZGH0270,Genotype040
ZGH0272,Genotype040
ZGH0273,Genotype040
ZGH0274,Genotype040
ZGH0275,Genotype040
ZGH0278,Genotype040
ZGH0282,Genotype040
ZGH0284,Genotype040
ZGH0285,Genotype040
ZGH0286,Genotype040
ZGH0288,Genotype040
ZGH0289,Genotype040
ZGH0290,Genotype040
ZGH0292,Genotype040
ZGH0294,Genotype040
ZGH0297,Genotype040
ZGH0298,Genotype040
ZGH0300,Genotype040
ZGH0301,Genotype040
ZGH0304,Genotype040
ZGH0305,Genotype040
ZGH0307,Genotype040
ZGH0309,Genotype040
ZGH0312,Genotype040
ZGH0314,Genotype040
ZGH0315,Genotype040
ZGH0316,Genotype040
ZGH0317,Genotype040
ZGH0318,Genotype040
ZGH0320,Genotype040
ZGH0321,Genotype040
ZGH0323,Genotype040
ZGH0324,Genotype040
ZGH0325,Genotype040
ZGH0326,Genotype040
ZGH0327,Genotype040
ZGH0332,Genotype040
ZGH0335,Genotype040
ZGH0341,Genotype040
ZGH0345,Genotype040
ZGH0346,Genotype040
ZGH0350,Genotype040
ZGH0353,Genotype040
ZGH0354,Genotype040
ZGH0355,Genotype040
ZGH0356,Genotype040
ZGH0357,Genotype040
ZGH0358,Genotype040
ZGH0359,Genotype040
ZGH0361,Genotype040
ZGH0362,Genotype040
ZGH0370,Genotype040
ZGH0371,Genotype040
ZGH0373,Genotype040
ZGH0374,Genotype040
ZGH0379,Genotype040
ZGH0380,Genotype040
ZGH0381,Genotype040
ZGH0382,Genotype040
ZGH0383,Genotype040
ZGH0384,Genotype040
ZGH0385,Genotype040
ZGH0386,Genotype040
ZGH0387,Genotype040
ZGH0391,Genotype040
ZGH0392,Genotype040
ZGH0395,Genotype040
ZGH0396,Genotype040
ZGH0397,Genotype040
ZGH0406,Genotype040
ZGH0407,Genotype040
ZGH0408,Genotype040
ZGH0410,Genotype040
ZGH0411,Genotype040
ZGH0417,Genotype040
ZGH0425,Genotype040
ZGH0426,Genotype040
ZGH0427,Genotype040
ZGH0428,Genotype040
ZGH0429,Genotype040
ZGH0430,Genotype040
ZGH0431,Genotype040
ZGH0439,Genotype040
ZGH0443,Genotype040
ZGH0444,Genotype040
ZGH0445,Genotype040
ZGH0448,Genotype040
ZGH0451,Genotype040
ZGH0453,Genotype040
ZGH0457,Genotype040
ZGH0460,Genotype040
ZGH0461,Genotype040
ZGH0462,Genotype040
ZGH0465,Genotype040
ZGH0466,Genotype040
ZGH0467,Genotype040
ZGH0470,Genotype040
ZGH0473,Genotype040
ZGH0475,Genotype040
ZGH0477,Genotype040
ZGH0478,Genotype040
ZGH0479,Genotype040
ZGH0481,Genotype040
ZGH0483,Genotype040
ZGH0488,Genotype040
ZGH0490,Genotype040
ZGH0492,Genotype040
ZGH0493,Genotype040
ZGH0494,Genotype040
ZGH0495,Genotype040
ZGH0496,Genotype040
ZGH0497,Genotype040
ZGH0498,Genotype040
ZGH0499,Genotype040
ZGH0503,Genotype040
ZGH0504,Genotype040
ZGH0506,Genotype040
ZGH0507,Genotype040
ZGH0510,Genotype040
ZGH0516,Genotype040
ZGH0518,Genotype040
ZGH0526,Genotype040
ZGH0527,Genotype040
ZGH0528,Genotype040
ZGH0531,Genotype040
ZGH0534,Genotype040
ZGH0537,Genotype040
ZGH0544,Genotype040
ZGH0547,Genotype040
ZGH0549,Genotype040
ZGH0550,Genotype040
ZGH0551,Genotype040
ZGH0558,Genotype040
ZGH0559,Genotype040
ZGH0562,Genotype040
ZGH0563,Genotype040
ZGH0564,Genotype040
ZGH0566,Genotype040
ZGH0567,Genotype040
ZGH0568,Genotype040
ZGH0569,Genotype040
ZGH0573,Genotype040
ZGH0575,Genotype040
ZGH0577,Genotype040
ZGH0579,Genotype040
ZGH0581,Genotype040
ZGH0582,Genotype040
ZGH0583,Genotype040
ZGH0584,Genotype040
ZGH0586,Genotype040
ZGH0587,Genotype040
ZGH0588,Genotype040
ZGH0589,Genotype040
ZGH0599,Genotype040
ZGH0601,Genotype040
ZGH0603,Genotype040
ZGH0604,Genotype040
ZGH0612,Genotype040
ZGH0618,Genotype040
ZGH0621,Genotype040
ZGH0622,Genotype040
ZGH0626,Genotype040
ZGH0633,Genotype040
ZGH0639,Genotype040
ZGH0641,Genotype040
ZGH0644,Genotype040
ZGH0646,Genotype040
ZGH0648,Genotype040
ZGH0650,Genotype040
ZGH0652,Genotype040
ZGH0653,Genotype040
ZGH0654,Genotype040
ZGH0655,Genotype040
ZGH0657,Genotype040
ZGH0658,Genotype040
ZGH0659,Genotype040
ZGH0663,Genotype040
ZGH0665,Genotype040
ZGH0666,Genotype040
ZGH0667,Genotype040
ZGH0668,Genotype040
ZGH0669,Genotype040
ZGH0670,Genotype040
ZGH0671,Genotype040
ZGH0672,Genotype040
ZGH0673,Genotype040
ZGH0674,Genotype040
ZGH0675,Genotype040
ZGH0676,Genotype040
ZGH0677,Genotype040
ZGH0679,Genotype040
ZGH0681,Genotype040
ZGH0684,Genotype040
ZGH0686,Genotype040
ZGH0690,Genotype040
ZGH0691,Genotype040
ZGH0692,Genotype040
ZGH0693,Genotype040
ZGH0694,Genotype040
ZGH0695,Genotype040
ZGH0697,Genotype040
ZGH0698,Genotype040
ZGH0699,Genotype040
ZGH0702,Genotype040
ZGH0705,Genotype040
ZGH0706,Genotype040
ZGH0708,Genotype040
ZGH0711,Genotype040
ZGH0714,Genotype040
ZGH0715,Genotype040
ZGH0721,Genotype040
ZGH0723,Genotype040
ZGH0724,Genotype040
ZGH0727,Genotype040
ZGH0738,Genotype040
ZGH0747,Genotype040
ZGH0749,Genotype040
ZGH0756,Genotype040
ZGH0757,Genotype040
ZGH0758,Genotype040
ZGH0760,Genotype040
ZGH0761,Genotype040
ZGH0762,Genotype040
ZGH0763,Genotype040
ZGH0764,Genotype040
ZGH0768,Genotype040
ZGH0774,Genotype040
ZGH0776,Genotype040
ZGH0782,Genotype040
ZGH0783,Genotype040
ZGH0786,Genotype040
ZGH0797,Genotype040
ZGH0815,Genotype040
ZGH0816,Genotype040
ZGH0823,Genotype040
ZGH0825,Genotype040
ZGH0826,Genotype040
ZGH0827,Genotype040
ZGH0835,Genotype040
ZGH0836,Genotype040
ZGH0839,Genotype040
ZGH0842,Genotype040
ZGH0846,Genotype040
ZGH0851,Genotype040
ZGH0853,Genotype040
ZGH0857,Genotype040
ZGH0858,Genotype040
ZGH0864,Genotype040
ZGH0868,Genotype040
ZGH0873,Genotype040
ZGH0877,Genotype040
ZGH0878,Genotype040
ZGH0899,Genotype040
ZGH0900,Genotype040
ZGH0903,Genotype040
ZGH0904,Genotype040
ZGH0907,Genotype040
ZGH0919,Genotype040
ZGH0923,Genotype040
ZGH0926,Genotype040
ZGH0928,Genotype040
ZGH0930,Genotype040
ZGH0931,Genotype040
ZGH0932,Genotype040
ZGH0934,Genotype040
ZGH0935,Genotype040
ZGH0941,Genotype040
ZGH0944,Genotype040
ZGH0945,Genotype040
ZGH0948,Genotype040
ZGH0958,Genotype040
ZGH0962,Genotype040
ZGH0972,Genotype040
ZGH0974,Genotype040
ZGH0975,Genotype040
ZGH0986,Genotype040
ZGH0988,Genotype040
ZGH0989,Genotype040
ZGH0991,Genotype040
ZGH0993,Genotype040
ZGH0994,Genotype040
ZGH0995,Genotype040
ZGH0997,Genotype040
ZGH0998,Genotype040
ZGH1004,Genotype040
ZGH1008,Genotype040
ZGH1010,Genotype040
ZGH1011,Genotype040
ZGH1012,Genotype040
ZGH1013,Genotype040
ZGH1014,Genotype040
ZGH1016,Genotype040
ZGH1018,Genotype040
ZGH1019,Genotype040
ZGH1020,Genotype040
ZGH1023,Genotype040
ZGH1024,Genotype040
ZGH1025,Genotype040
ZGH1028,Genotype040
ZGH1029,Genotype040
ZGH1031,Genotype040
ZGH1042,Genotype040
ZGH1047,Genotype040
ZGH1048,Genotype040
ZGH1049,Genotype040
ZGH1050,Genotype040
ZGH1052,Genotype040
ZGH1061,Genotype040
ZGH1064,Genotype040
ZGH1065,Genotype040
ZGH1066,Genotype040
ZGH1070,Genotype040
ZGH1071,Genotype040
ZGH1073,Genotype040
ZGH1077,Genotype040
ZGH1078,Genotype040
ZGH1081,Genotype040
ZGH1083,Genotype040
ZGH1085,Genotype040
ZGH1089,Genotype040
ZGH1095,Genotype040
ZGH1097,Genotype040
ZGH1100,Genotype040
ZGH1102,Genotype040
ZGH1103,Genotype040
ZGH1109,Genotype040
ZGH1111,Genotype040
ZGH1112,Genotype040
ZGH1113,Genotype040
ZGH1114,Genotype040
ZGH1116,Genotype040
ZGH1120,Genotype040
ZGH1121,Genotype040
ZGH1122,Genotype040
ZGH1124,Genotype040
ZGH1126,Genotype040
ZGH1132,Genotype040
ZGH1134,Genotype040
ZGH1136,Genotype040
ZGH1167,Genotype040
ZGH1170,Genotype040
ZGH1177,Genotype040
ZGH1180,Genotype040
ZGH1182,Genotype040
ZGH1202,Genotype040
ZGH1206,Genotype040
ZGH1209,Genotype040
GB0454,Genotype041
GB0455,Genotype041
GB0457,Genotype041
GB0458,Genotype041
GB0461,Genotype041
GB0464,Genotype041
GB0465,Genotype041
GB0471,Genotype041
GB0476,Genotype041
GB0479,Genotype041
GB0485,Genotype041
GB0486,Genotype041
GB0487,Genotype041
GB0493,Genotype041
GB0500,Genotype041
GB0513,Genotype041
GB0531,Genotype041
GB0546,Genotype041
GB0556,Genotype041
GB0563,Genotype041
GB0587,Genotype041
WILD014,Genotype041
WILD015,Genotype041
WILD016,Genotype041
GB0460,Genotype042
GB0507,Genotype043
GH0003,Genotype043
GH0004,Genotype043
GH0298,Genotype043
GH0300,Genotype043
GH1098,Genotype043
GH1524,Genotype043
GH1525,Genotype043
GH1526,Genotype043
GH1527,Genotype043
GH1532,Genotype043
GH1534,Genotype043
GHL003,Genotype043
WILD002,Genotype043
WILD009,Genotype043
WILD022,Genotype043
ZGH0642,Genotype043
ZGH1009,Genotype043
ZGH1197,Genotype043
ZGH1208,Genotype043
GH0041,Genotype044
GH0058,Genotype044
GH0089,Genotype044
GH0098,Genotype044
GH0113,Genotype044
GH0153,Genotype044
GH0169,Genotype044
GH0181,Genotype044
GH0200,Genotype044
GH0234,Genotype044
GH0251,Genotype044
GH0258,Genotype044
GH0259,Genotype044
GH0267,Genotype044
GH0283,Genotype044
GH0285,Genotype044
GH0316,Genotype044
GH0323,Genotype044
GH0324,Genotype044
GH0344,Genotype044
GH0346,Genotype044
GH0366,Genotype044
GH0372,Genotype044
GH0375,Genotype044
GH0392,Genotype044
GH0413,Genotype044
GH0431,Genotype044
GH0442,Genotype044
GH0448,Genotype044
GH0473,Genotype044
GH0482,Genotype044
GH0535,Genotype044
GH0546,Genotype044
GH0552,Genotype044
GH0588,Genotype044
GH0589,Genotype044
GH0596,Genotype044
GH0600,Genotype044
GH0643,Genotype044
GH0644,Genotype044
GH0698,Genotype044
GH0706,Genotype044
GH0707,Genotype044
GH0725,Genotype044
GH0736,Genotype044
GH0737,Genotype044
GH0776,Genotype044
GH0779,Genotype044
